_nombre,acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,bossanova,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,country,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,holidays,honky-tonk,house,idm,indian,indie,indie-pop,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latin,latino,malay,mandopop,metal,metal-misc,metalcore,minimal-techno,movies,mpb,new-age,new-release,opera,pagode,party,philippines-opm,piano,pop,pop-film,post-dubstep,power-pop,progressive-house,psych-rock,punk,punk-rock,r-n-b,rainy-day,reggae,reggaeton,road-trip,rock,rock-n-roll,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,soundtracks,spanish,study,summer,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,work-out,world-music
40 RPM - Saturday - 10:30:00,0,0,0,89,0,0,0,0,4,0,0,0,13,0,0,0,0,1,0,0,11,173,0,0,0,0,21,0,0,1,0,4,4,0,0,15,0,1,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,82,0,0,0,0,0,0,0,1,0,0,48,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,196,0,0,0,0,0,2,0,0,0,7,2,0,266,0,2,0,0,0,0,0,0,7,0,0,0,33,0,70,0,0,15,0,0,6,2,0,0,0,0
40 RPM - Saturday - 11:00:00,0,0,0,146,0,0,0,0,8,0,0,2,27,0,0,0,0,1,0,0,7,269,0,0,0,0,42,0,0,3,0,2,8,4,0,27,0,5,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,0,117,0,0,0,0,0,0,0,5,0,0,68,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,321,0,0,0,0,0,6,0,0,0,14,0,0,422,0,2,0,0,0,0,0,0,10,2,0,0,26,0,116,0,0,20,0,0,2,0,0,0,0,0
40 RPM - Saturday - 12:00:00,0,0,0,154,0,0,0,0,11,0,0,0,20,0,0,0,0,0,0,1,12,253,0,0,0,0,42,0,0,2,0,4,5,0,0,13,0,3,10,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,121,0,0,0,0,0,0,0,4,0,0,61,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,306,0,0,0,0,0,9,0,0,0,12,0,0,397,0,1,0,0,0,0,0,0,15,0,0,0,33,0,100,0,0,10,0,0,12,2,0,0,0,0
40 RPM - Saturday - 13:00:00,0,2,0,154,0,0,0,0,7,0,0,0,14,0,0,0,0,1,0,0,10,280,0,0,0,0,42,0,0,0,0,2,8,0,0,14,0,3,20,0,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,15,0,1,134,0,0,0,0,0,0,0,6,0,0,58,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,339,0,0,0,0,0,2,0,0,0,8,0,0,452,0,2,0,0,0,0,0,0,17,0,0,0,35,0,104,0,0,15,0,0,2,0,0,0,0,0
40 RPM - Saturday - 14:00:00,0,0,0,145,2,0,0,0,8,0,0,0,16,0,0,0,0,1,0,0,13,258,0,0,0,0,49,0,0,2,0,2,6,2,0,13,0,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,119,0,0,0,0,0,0,0,0,0,0,61,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,11,298,0,0,0,0,0,5,0,0,0,12,0,0,401,0,0,0,0,0,0,0,0,5,2,0,0,34,0,100,0,0,15,0,0,0,0,0,0,0,0
40 RPM - Saturday - 15:00:00,0,0,0,113,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,7,197,0,0,0,0,33,0,0,2,0,4,3,0,0,10,0,1,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,105,0,0,0,0,0,0,0,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,4,0,0,0,9,0,0,240,0,0,0,0,0,0,0,0,1,0,0,0,22,0,46,0,0,9,0,0,6,1,0,0,0,0
40 RPM - Sunday - 10:30:00,0,0,0,88,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,3,160,0,0,0,0,20,0,0,0,0,0,2,0,0,10,0,2,7,0,8,0,0,0,0,3,0,0,0,1,0,0,0,0,0,11,0,0,82,0,0,0,0,0,0,0,1,0,0,36,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,190,0,0,0,0,0,3,0,0,0,7,0,0,241,0,2,0,0,0,0,0,0,6,0,0,0,11,0,80,0,0,11,0,0,6,0,0,0,0,0
40 RPM - Sunday - 11:00:00,0,0,0,139,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,15,264,0,0,0,0,38,0,0,2,0,5,11,4,0,13,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,123,0,0,0,0,0,0,0,1,0,0,69,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,333,0,0,0,0,0,6,0,0,0,13,4,0,385,0,1,0,0,0,0,0,0,3,0,0,0,37,0,106,0,0,14,0,0,5,0,0,0,0,0
40 RPM - Sunday - 11:30:00,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40 RPM - Sunday - 12:00:00,0,0,0,160,0,0,0,0,12,0,0,0,21,0,0,0,0,0,0,0,10,280,0,0,0,0,51,0,0,0,0,4,12,6,0,26,0,0,12,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,129,0,0,0,0,0,0,0,2,0,0,80,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,316,0,0,0,0,0,2,0,0,0,6,1,0,454,0,4,0,0,0,0,0,0,11,2,0,0,21,0,105,0,0,3,0,0,5,1,0,0,0,0
