_nombre,informativo,deportes,entretenimiento,musical,educacion
40 RPM - Saturday - 10:30:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Saturday - 11:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Saturday - 12:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Saturday - 13:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Saturday - 14:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Saturday - 15:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Sunday - 10:30:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Sunday - 11:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Sunday - 11:30:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Sunday - 12:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Sunday - 13:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Sunday - 14:00:00,0.0,0.0,0.7,0.95,0.0
40 RPM - Sunday - 15:00:00,0.0,0.0,0.7,0.95,0.0
A vivir - Saturday - 08:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Saturday - 09:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Saturday - 10:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Saturday - 11:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Sunday - 08:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Sunday - 09:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Sunday - 10:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Sunday - 11:00:00,0.3,0.1,0.8,0.2,0.0
A vivir - Sunday - 11:30:00,0.3,0.1,0.8,0.2,0.0
A vivir - Sunday - 12:00:00,0.3,0.1,0.8,0.2,0.0
A Vivir... Especial - Saturday - 16:00:00,0.3,0.1,0.8,0.2,0.0
A Vivir... Especial - Saturday - 17:00:00,0.3,0.1,0.8,0.2,0.0
A Vivir... Especial - Sunday - 16:00:00,0.3,0.1,0.8,0.2,0.0
A Vivir... Especial - Sunday - 17:00:00,0.3,0.1,0.8,0.2,0.0
A Vivir... Especial - Sunday - 21:00:00,0.3,0.1,0.8,0.2,0.0
A Vivir... Especial - Sunday - 22:00:00,0.3,0.1,0.8,0.2,0.0
Acento Robinson - Sunday - 13:00:00,0.3,0.95,0.3,0.0,0.0
Anda Ya - Friday - 06:00:00,0.2,0.0,0.95,0.75,0.0
Anda Ya - Friday - 07:00:00,0.2,0.0,0.95,0.75,0.0
Anda Ya - Friday - 08:00:00,0.2,0.0,0.95,0.75,0.0
Anda Ya - Friday - 09:00:00,0.2,0.0,0.95,0.75,0.0
Anda Ya - Friday - 10:00:00,0.2,0.0,0.95,0.75,0.0
